OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1133;1;0;59;10;2018;2;5;4;3;2;6;2;0;1;0;0;0;1;0;530345.4656;6047228.4267;9.469395588;54.571653469
1134;1;0;2;0;2018;3;8;5;3;2;6;2;0;1;0;0;0;0;1;572086.4447;6021214.7517;10.108631382;54.333680294
1135;1;0;58;58;2018;3;16;2;3;2;2;0;0;1;0;0;0;0;0;563247.6417;6029131.3278;9.974403808;54.405991297
1136;1;0;56;5;2018;3;19;2;3;2;6;2;0;1;0;0;0;1;0;561527.8307;5945334.8341;9.930937077;53.653151188
1137;1;0;53;89;2018;3;23;4;3;7;1;2;0;0;0;0;0;1;2;598092.584;5936316.5807;10.481169532;53.566539496
1138;1;0;62;27;2018;3;21;6;3;8;1;2;0;1;0;0;0;0;2;588520.726;5953383.7209;10.341541997;53.721606768
1139;1;0;61;73;2018;2;18;4;3;2;6;2;0;1;0;0;0;0;0;537142.6609;5968913.0526;9.564843766;53.867368511
1140;1;0;2;0;2018;3;8;3;3;3;6;0;0;1;0;0;0;0;0;574440.2421;6017668.5828;10.143938657;54.301477721
1141;1;0;54;166;2018;3;13;6;2;4;1;0;0;1;0;0;1;0;2;482660.3933;6076516.1771;8.730038587;54.835468616
1142;1;0;58;150;2018;3;11;7;3;2;6;0;0;1;0;0;0;0;2;571560.2208;6034238.7107;10.103676774;54.450783289
1143;1;0;60;63;2018;2;10;3;3;2;6;0;0;1;0;0;0;1;1;566701.2556;5948715.5964;10.00992622;53.682900076
1144;1;0;62;1;2018;3;18;2;3;5;2;0;0;1;0;0;0;0;0;583086.417;5948742.508;10.257962483;53.680793533
1145;1;0;62;11;2018;2;7;3;3;5;3;0;0;1;0;0;0;0;0;582048.6838;5941713.88;10.240399543;53.617795893
1146;1;0;3;0;2018;3;19;6;2;5;3;2;0;1;0;1;0;0;0;609235.2562;5971205.1136;10.661661612;53.877797335
1147;1;0;53;83;2018;2;20;3;3;2;6;2;0;1;0;0;0;0;0;603574.8557;5915030.9584;10.556900697;53.374226657
1148;1;0;4;0;2018;3;14;3;3;5;2;0;1;1;0;0;0;0;0;564705.7186;5991644.1633;9.988776578;54.068940453
1149;1;0;60;44;2018;3;10;6;3;2;6;0;0;1;0;0;0;1;0;562369.195;5966244.4919;9.947885785;53.840968168
1150;1;0;4;0;2018;3;21;7;3;0;7;2;0;0;0;0;1;0;0;564698.5812;5989780.2886;9.988269799;54.052191662
1151;1;0;53;115;2018;2;13;3;3;5;3;0;0;1;0;0;0;0;0;602301.7495;5926261.6738;10.541418151;53.475388673
1152;1;0;56;50;2018;3;0;2;3;8;1;2;0;1;0;0;0;0;0;545134.6772;5939021.2748;9.682010421;53.598077339
1153;1;0;62;14;2018;2;17;3;3;2;2;1;0;1;0;0;0;0;0;582647.021;5951494.139;10.252045163;53.705590008
1154;1;0;58;135;2018;2;8;4;3;2;6;0;0;1;0;0;0;0;0;542501.9888;6016715.576;9.653049888;54.296568923
1155;1;0;56;48;2018;2;10;2;3;2;6;0;0;1;0;0;0;0;1;550737.7257;5951343.4936;9.768679666;53.708312475
1156;1;0;61;44;2018;3;11;4;3;0;7;0;1;0;0;0;0;0;0;540711.2717;5962688.2181;9.618285047;53.81115432
1157;1;0;55;28;2018;2;13;3;3;2;6;0;0;1;0;1;0;0;0;603738.6459;6002602.2764;10.588800044;54.161011759
1158;1;0;59;159;2018;3;10;7;3;2;6;0;0;1;0;0;0;0;0;528164.7423;6055597.607;9.436468379;54.646991271
1159;1;0;56;41;2018;3;11;4;3;5;3;0;0;1;0;0;0;0;1;562450.4608;5955226.7295;9.946887956;53.741941773
1160;1;0;57;1;2018;3;19;7;3;9;1;2;0;1;0;0;0;0;2;587075.0168;5999673.5821;10.332827734;54.137792821
1161;1;0;53;31;2018;2;14;3;3;2;6;0;0;1;0;0;1;0;2;601170.0274;5936501.928;10.52768019;53.567620632
1162;1;0;56;41;2018;3;16;1;3;5;2;0;0;1;0;0;0;0;0;559533.986;5952974.03;9.902240264;53.722037465
1163;1;0;4;0;2018;2;16;3;2;5;3;0;0;1;0;0;0;1;0;563340.754;5988675.6636;9.967301727;54.042433494
1164;1;0;51;132;2018;3;13;4;3;2;2;0;0;1;0;0;0;1;0;491996.8939;6000141.6559;8.877468587;54.149314922
1165;1;0;62;9;2018;3;14;2;3;2;6;0;0;1;0;0;1;0;0;578763.5545;5936064.9729;10.189320921;53.567535795
1166;1;0;56;20;2018;3;13;1;3;8;1;0;0;1;0;0;0;0;0;540530.3124;5945166.2085;9.61324066;53.653684077
