ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;3;16;5;3;2;6;0;1;0;0;0;0;1;8.260075883;52.78252846
2;2017;2;8;4;3;0;5;1;1;0;0;0;0;1;9.147270768;53.13161288
2;2017;2;22;4;2;5;3;1;1;0;0;0;2;0;9.232201857;52.91970481
2;2017;3;15;5;2;4;6;0;1;0;0;0;0;1;8.286493864;52.77167704
2;2017;3;18;5;3;8;1;0;1;0;0;0;2;1;8.006537048;52.84728591
2;2017;3;7;5;3;4;6;1;0;0;0;0;1;1;8.154466542;52.83347731
2;2017;3;14;5;2;4;2;0;1;0;0;0;0;0;8.773209019;53.23038469
2;2017;3;13;5;3;5;3;1;1;0;0;0;0;0;8.713137779;53.22923037
2;2017;3;9;5;3;8;1;0;1;0;0;0;0;1;8.102973849;53.19066915
2;2017;3;7;5;3;2;6;0;1;0;0;0;0;1;8.27840675;53.13688337
2;2017;3;15;5;3;2;6;0;1;0;0;0;0;1;8.193784041;53.15115444
2;2017;2;19;4;3;9;7;0;1;0;0;0;2;1;9.278035825;52.93233482
2;2017;3;16;5;3;5;3;1;1;0;0;0;0;1;8.244836298;53.15491511
2;2017;2;10;4;3;5;3;0;1;0;1;0;0;1;8.193836208;53.14312306
2;2017;3;7;5;3;5;3;1;1;0;0;0;0;1;8.82949689;52.9857745
2;2017;2;7;4;2;4;7;0;1;0;0;0;0;1;8.443369889;53.20464678
2;2017;3;7;5;3;2;2;0;1;0;0;1;1;1;8.434222235;53.48610452
2;2017;3;7;5;3;5;3;0;1;0;0;0;1;1;8.724786631;53.51730122
2;2017;3;13;5;3;5;3;0;1;0;0;0;0;0;9.678304329;53.46243957
2;2017;3;18;5;3;5;3;1;1;0;0;0;2;1;9.659003331;53.49979404
2;2017;3;15;5;3;2;6;0;1;0;0;1;0;0;9.489442767;53.58248749
2;2017;3;17;5;2;2;6;0;1;0;1;0;1;1;9.60038508;52.86328914
2;2017;3;16;5;3;5;3;0;1;0;0;0;0;1;9.482617302;53.16867801
2;2017;3;16;5;3;5;3;0;1;0;0;0;0;0;10.21375225;52.53535296
2;2017;2;18;4;3;5;2;1;1;0;0;0;2;0;8.60070794;53.04930673
2;2017;3;15;5;3;2;6;0;1;0;0;0;0;1;10.05976329;52.62045607
2;2017;2;17;4;3;0;7;0;1;0;0;0;0;0;8.666476328;53.47676461
2;2017;3;10;5;3;2;6;0;1;0;0;0;0;1;9.696791663;52.38003433
2;2017;3;20;5;3;2;6;0;1;0;0;0;2;1;9.696431151;52.37995937
2;2017;2;18;4;2;2;6;0;1;0;0;1;2;0;10.00301933;53.38492273
2;2017;2;7;4;2;6;4;0;1;1;0;0;2;1;9.99198004;53.40984975
2;2017;2;6;4;3;4;6;1;0;0;1;0;2;1;9.643086405;53.47802212
2;2017;2;16;4;3;5;3;1;1;0;0;0;0;0;9.482375864;53.6518662
2;2017;2;19;4;3;5;3;1;1;0;0;0;2;0;9.998078756;53.08903335
2;2017;3;19;5;3;0;7;1;0;0;0;0;2;1;9.712366898;52.40392437
2;2017;2;16;4;3;6;4;0;1;1;0;0;0;1;9.664191555;52.38436536
2;2017;2;22;4;3;3;6;0;1;0;0;0;2;1;9.750006013;52.36078249
2;2017;3;10;5;3;5;3;1;1;0;0;0;0;1;9.439659477;52.41797537
2;2017;2;15;4;3;6;4;0;1;1;0;0;0;1;9.762921942;52.34465537
2;2017;3;7;5;3;1;7;0;1;0;0;1;0;1;9.793599497;52.27496256
2;2017;2;17;4;3;2;7;0;1;0;0;0;1;1;9.716926978;52.28722595
